Order ID,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,FUR-BO-10001798,261.96,2.00,0.00,41.91
CA-2016-152156,FUR-CH-10000454,731.94,3.00,0.00,219.58
CA-2016-138688,OFF-LA-10000240,14.62,2.00,0.00,6.87
US-2015-108966,FUR-TA-10000577,957.58,5.00,0.45,-383.03
US-2015-108966,OFF-ST-10000760,22.37,2.00,0.20,2.52
CA-2014-115812,FUR-FU-10001487,48.86,7.00,0.00,14.17
CA-2014-115812,OFF-AR-10002833,7.28,4.00,0.00,1.97
CA-2014-115812,TEC-PH-10002275,907.15,6.00,0.20,90.72
CA-2014-115812,OFF-BI-10003910,18.50,3.00,0.20,5.78
CA-2014-115812,OFF-AP-10002892,114.90,5.00,0.00,34.47
CA-2014-115812,FUR-TA-10001539,1706.18,9.00,0.20,85.31
CA-2014-115812,TEC-PH-10002033,911.42,4.00,0.20,68.36
CA-2017-114412,OFF-PA-10002365,15.55,3.00,0.20,5.44
CA-2016-161389,OFF-BI-10003656,407.98,3.00,0.20,132.59
US-2015-118983,OFF-AP-10002311,68.81,5.00,0.80,-123.86
US-2015-118983,OFF-BI-10000756,2.54,3.00,0.80,-3.82
CA-2014-105893,OFF-ST-10004186,665.88,6.00,0.00,13.32
CA-2014-167164,OFF-ST-10000107,55.50,2.00,0.00,9.99
CA-2014-143336,OFF-AR-10003056,8.56,2.00,0.00,2.48
CA-2014-143336,TEC-PH-10001949,213.48,3.00,0.20,16.01
CA-2014-143336,OFF-BI-10002215,22.72,4.00,0.20,7.38
CA-2016-137330,OFF-AR-10000246,19.46,7.00,0.00,5.06
CA-2016-137330,OFF-AP-10001492,60.34,7.00,0.00,15.69
US-2017-156909,FUR-CH-10002774,71.37,2.00,0.30,-1.02
CA-2015-106320,FUR-TA-10000577,1044.63,3.00,0.00,240.26
CA-2016-121755,OFF-BI-10001634,11.65,2.00,0.20,4.22
CA-2016-121755,TEC-AC-10003027,90.57,3.00,0.00,11.77
US-2015-150630,FUR-BO-10004834,3083.43,7.00,0.50,-1665.05
US-2015-150630,OFF-BI-10000474,9.62,2.00,0.70,-7.05
US-2015-150630,FUR-FU-10004848,124.20,3.00,0.20,15.53
US-2015-150630,OFF-EN-10001509,3.26,2.00,0.20,1.10
US-2015-150630,OFF-AR-10004042,86.30,6.00,0.20,9.71
US-2015-150630,OFF-BI-10001525,6.86,6.00,0.70,-5.72
US-2015-150630,OFF-AR-10001683,15.76,2.00,0.20,3.55
CA-2017-107727,OFF-PA-10000249,29.47,3.00,0.20,9.95
CA-2016-117590,TEC-PH-10004977,1097.54,7.00,0.20,123.47
CA-2016-117590,FUR-FU-10003664,190.92,5.00,0.60,-147.96
CA-2015-117415,OFF-EN-10002986,113.33,9.00,0.20,35.42
CA-2015-117415,FUR-BO-10002545,532.40,3.00,0.32,-46.98
CA-2015-117415,FUR-CH-10004218,212.06,3.00,0.30,-15.15
CA-2015-117415,TEC-PH-10000486,371.17,4.00,0.20,41.76
CA-2017-120999,TEC-PH-10004093,147.17,4.00,0.20,16.56
CA-2016-101343,OFF-ST-10003479,77.88,2.00,0.00,3.89
CA-2017-139619,OFF-ST-10003282,95.62,2.00,0.20,9.56
CA-2016-118255,TEC-AC-10000171,45.98,2.00,0.00,19.77
CA-2016-118255,OFF-BI-10003291,17.46,2.00,0.00,8.21
CA-2014-146703,OFF-ST-10001713,211.96,4.00,0.00,8.48
CA-2016-169194,TEC-AC-10002167,45.00,3.00,0.00,4.95
CA-2016-169194,TEC-PH-10003988,21.80,2.00,0.00,6.10
CA-2015-115742,OFF-BI-10004410,38.22,6.00,0.00,17.96
CA-2015-115742,OFF-LA-10002762,75.18,6.00,0.00,35.33
CA-2015-115742,FUR-FU-10001706,6.16,2.00,0.00,2.96
CA-2015-115742,FUR-CH-10003061,89.99,1.00,0.00,17.10
CA-2016-105816,OFF-FA-10000304,15.26,7.00,0.00,6.26
CA-2016-105816,TEC-PH-10002447,1029.95,5.00,0.00,298.69
CA-2016-111682,OFF-ST-10000604,208.56,6.00,0.00,52.14
CA-2016-111682,OFF-PA-10001569,32.40,5.00,0.00,15.55
CA-2016-111682,FUR-CH-10003968,319.41,5.00,0.10,7.10
CA-2016-111682,OFF-PA-10000587,14.56,2.00,0.00,6.99
CA-2016-111682,TEC-AC-10002167,30.00,2.00,0.00,3.30
CA-2016-111682,OFF-BI-10001460,48.48,4.00,0.20,16.36
CA-2016-111682,OFF-AR-10001868,1.68,1.00,0.00,0.84
CA-2015-135545,TEC-AC-10004633,13.98,2.00,0.00,6.15
CA-2015-135545,OFF-BI-10001078,25.82,6.00,0.20,9.36
CA-2015-135545,OFF-PA-10003892,146.73,3.00,0.00,68.96
CA-2015-135545,FUR-FU-10000397,79.76,4.00,0.00,22.33
US-2015-164175,FUR-CH-10001146,213.12,5.00,0.30,-15.22
CA-2014-106376,OFF-AR-10002671,1113.02,8.00,0.20,111.30
CA-2014-106376,TEC-PH-10002726,167.97,4.00,0.20,62.99
CA-2016-119823,OFF-PA-10000482,75.88,2.00,0.00,35.66
CA-2016-106075,OFF-BI-10004654,4.62,1.00,0.20,1.73
CA-2017-114440,OFF-PA-10004675,19.05,3.00,0.00,8.76
US-2015-134026,FUR-CH-10000513,831.94,8.00,0.20,-114.39
US-2015-134026,FUR-FU-10003708,97.04,2.00,0.20,1.21
US-2015-134026,OFF-ST-10004123,72.78,1.00,0.20,-18.20
US-2017-118038,OFF-BI-10004182,1.25,3.00,0.80,-1.93
US-2017-118038,FUR-FU-10000260,9.71,3.00,0.60,-5.82
US-2017-118038,OFF-ST-10000615,27.24,3.00,0.20,2.72
US-2014-147606,FUR-FU-10003194,19.30,5.00,0.60,-14.48
CA-2016-127208,OFF-AP-10002118,208.16,1.00,0.00,56.20
CA-2016-127208,OFF-BI-10002309,16.74,3.00,0.00,8.04
CA-2014-139451,OFF-AR-10002053,14.90,5.00,0.00,4.17
CA-2014-139451,OFF-ST-10002370,21.39,1.00,0.00,6.20
CA-2015-149734,OFF-EN-10000927,200.98,7.00,0.20,62.81
US-2017-119662,OFF-ST-10003656,230.38,3.00,0.20,-48.95
CA-2017-140088,FUR-CH-10000863,301.96,2.00,0.00,33.22
CA-2017-155558,TEC-AC-10001998,19.99,1.00,0.00,6.80
CA-2017-155558,OFF-LA-10000134,6.16,2.00,0.00,2.96
CA-2016-159695,OFF-ST-10003442,158.37,7.00,0.20,13.86
CA-2016-109806,OFF-AR-10004930,20.10,3.00,0.00,6.63
CA-2016-109806,TEC-PH-10004093,73.58,2.00,0.20,8.28
CA-2016-109806,OFF-PA-10000304,6.48,1.00,0.00,3.11
CA-2015-149587,OFF-PA-10003177,12.96,2.00,0.00,6.22
CA-2015-149587,FUR-FU-10003799,53.34,3.00,0.00,16.54
CA-2015-149587,OFF-BI-10002852,32.96,2.00,0.00,16.15
US-2017-109484,OFF-BI-10004738,5.68,1.00,0.70,-3.79
CA-2017-161018,FUR-FU-10000629,96.53,7.00,0.00,40.54
CA-2017-157833,OFF-BI-10001721,51.31,3.00,0.20,17.96
CA-2016-149223,OFF-AP-10000358,77.88,6.00,0.00,22.59
CA-2016-158568,OFF-PA-10003256,64.62,7.00,0.20,22.62
CA-2016-158568,TEC-AC-10001767,95.98,3.00,0.20,-10.80
CA-2016-158568,OFF-BI-10002609,1.79,3.00,0.80,-3.04
CA-2016-129903,OFF-PA-10004040,23.92,4.00,0.00,11.72
US-2015-156867,TEC-AC-10001552,238.90,6.00,0.20,-26.88
US-2015-156867,FUR-FU-10004006,102.36,3.00,0.20,-3.84
US-2015-156867,OFF-BI-10002794,36.88,3.00,0.70,-25.82
CA-2017-119004,TEC-AC-10003499,74.11,8.00,0.20,17.60
CA-2017-119004,TEC-PH-10002844,27.99,1.00,0.20,2.10
CA-2017-119004,OFF-AR-10000390,3.30,1.00,0.20,1.07
CA-2015-129476,TEC-AC-10000844,339.96,5.00,0.20,67.99
CA-2017-146780,FUR-FU-10001934,41.96,2.00,0.00,10.91
CA-2016-128867,OFF-AR-10000380,75.96,2.00,0.00,22.79
CA-2016-128867,OFF-BI-10003981,27.24,6.00,0.00,13.35
CA-2014-115259,OFF-FA-10000621,40.10,14.00,0.20,14.53
CA-2014-115259,OFF-EN-10002600,4.72,2.00,0.20,1.65
CA-2014-115259,OFF-PA-10004965,23.98,3.00,0.20,7.49
CA-2014-115259,OFF-EN-10002504,130.46,6.00,0.20,44.03
CA-2015-110457,FUR-TA-10001768,787.53,3.00,0.00,165.38
US-2015-136476,OFF-BI-10003650,157.79,1.00,0.70,-115.72
CA-2016-103730,FUR-FU-10002157,47.04,3.00,0.00,18.35
CA-2016-103730,OFF-BI-10003910,30.84,4.00,0.00,13.88
CA-2016-103730,OFF-ST-10000777,226.56,6.00,0.00,63.44
CA-2016-103730,OFF-EN-10002500,115.02,9.00,0.00,51.76
CA-2016-103730,TEC-PH-10003875,68.04,7.00,0.00,19.73
US-2014-152030,FUR-CH-10004063,600.56,3.00,0.30,-8.58
US-2014-134614,FUR-TA-10004534,617.70,6.00,0.50,-407.68
US-2017-107272,OFF-BI-10003274,2.39,2.00,0.70,-1.83
US-2017-107272,OFF-ST-10002974,243.99,7.00,0.20,30.50
US-2016-125969,FUR-CH-10001146,81.42,2.00,0.20,-9.16
US-2016-125969,FUR-FU-10003773,238.56,3.00,0.00,26.24
US-2017-164147,TEC-PH-10002293,59.97,5.00,0.40,-11.99
US-2017-164147,OFF-PA-10002377,78.30,2.00,0.20,29.36
US-2017-164147,OFF-FA-10002780,21.46,9.00,0.20,6.97
CA-2016-145583,OFF-PA-10001804,20.04,3.00,0.00,9.62
CA-2016-145583,OFF-PA-10001736,35.44,1.00,0.00,16.66
CA-2016-145583,OFF-AR-10001149,11.52,4.00,0.00,3.46
CA-2016-145583,OFF-FA-10002988,4.02,2.00,0.00,1.97
CA-2016-145583,OFF-BI-10004781,76.18,3.00,0.20,26.66
CA-2016-145583,OFF-SU-10001218,65.88,6.00,0.00,18.45
CA-2016-145583,FUR-FU-10001706,43.12,14.00,0.00,20.70
CA-2016-110366,FUR-FU-10004848,82.80,2.00,0.20,10.35
CA-2017-106180,OFF-AR-10000940,8.82,3.00,0.00,2.38
CA-2017-106180,OFF-EN-10004030,10.86,3.00,0.00,5.10
CA-2017-106180,OFF-PA-10004327,143.70,3.00,0.00,68.98
CA-2017-155376,OFF-AP-10001058,839.43,3.00,0.00,218.25
CA-2015-110744,OFF-ST-10003656,671.93,7.00,0.00,20.16
CA-2014-110072,FUR-FU-10000521,93.89,4.00,0.20,12.91
CA-2016-114489,TEC-PH-10000215,384.45,11.00,0.00,103.80
CA-2016-114489,TEC-PH-10001448,149.97,3.00,0.00,6.00
CA-2016-114489,FUR-CH-10000454,1951.84,8.00,0.00,585.55
CA-2016-114489,OFF-BI-10002735,171.55,5.00,0.00,80.63
CA-2016-158834,OFF-AP-10000326,157.92,5.00,0.20,17.77
CA-2016-158834,TEC-PH-10001254,203.18,2.00,0.20,15.24
